ticker,entry_time,exit_time,entry_price,exit_price,highest_price,pnl
CHMF,2023-06-23 09:00:00+00:00,2023-06-24 07:00:00+00:00,1175.6,1093.6,1194.4,-1389.8606628107216
CHMF,2023-06-26 06:00:00+00:00,2023-06-28 13:00:00+00:00,1178.2,1169.2,1193.8,-125.03198849569068
SNGS,2023-07-01 14:00:00+00:00,2023-07-03 14:00:00+00:00,28.47,28.085,28.72,-265.36030350808227
ALRS,2023-07-13 08:00:00+00:00,2023-07-20 07:00:00+00:00,76.39,79.55,81.9,809.5377040958941
PLZL,2023-07-20 18:00:00+00:00,2023-07-25 06:00:00+00:00,1155.6,1152.6,1164.4,-51.224592390665336
ALRS,2023-07-21 08:00:00+00:00,2023-07-25 09:00:00+00:00,80.06,80.58,81.59,102.52801153354572
ALRS,2023-07-27 10:00:00+00:00,2023-07-28 16:00:00+00:00,85.29,83.93,85.44,-314.7975635465971
CHMF,2023-07-31 16:00:00+00:00,2023-08-02 07:00:00+00:00,1361.0,1359.6,1379.6,-13.594955310106833
VTBR,2023-07-28 11:00:00+00:00,2023-08-02 10:00:00+00:00,124.7,127.125,129.5,307.1325495193478
ALRS,2023-07-29 15:00:00+00:00,2023-08-04 14:00:00+00:00,84.12,85.79,89.0,327.97073563786125
SNGS,2023-08-02 10:00:00+00:00,2023-08-04 15:00:00+00:00,31.475,30.975,32.66,-261.05896750391315
VTBR,2023-08-03 09:00:00+00:00,2023-08-04 15:00:00+00:00,133.6,131.2,137.3,-236.17238808677462
VTBR,2023-08-05 07:00:00+00:00,2023-08-07 17:00:00+00:00,134.475,129.25,134.55,-765.5900236037597
ROSN,2023-08-05 07:00:00+00:00,2023-08-08 06:00:00+00:00,531.3,523.8,538.6,-222.51687808983206
NVTK,2023-08-05 10:00:00+00:00,2023-08-08 07:00:00+00:00,1602.4,1569.6,1611.0,-258.1275771939033
ALRS,2023-08-11 19:00:00+00:00,2023-08-14 11:00:00+00:00,91.8,90.18,93.65,-274.6534963634415
SNGS,2023-08-14 11:00:00+00:00,2023-08-14 15:00:00+00:00,32.87,31.17,33.035,-673.3063199563777
NVTK,2023-08-12 09:00:00+00:00,2023-08-14 16:00:00+00:00,1692.8,1618.6,1692.8,-545.7591687347935
VTBR,2023-08-10 14:00:00+00:00,2023-08-14 17:00:00+00:00,141.725,137.1,143.375,-634.8747913087451
ROSN,2023-08-15 10:00:00+00:00,2023-08-16 07:00:00+00:00,559.15,542.45,559.15,-454.665395966783
NVTK,2023-08-15 07:00:00+00:00,2023-08-16 08:00:00+00:00,1653.2,1595.4,1654.2,-665.297995185035
MOEX,2023-08-17 19:00:00+00:00,2023-08-21 18:00:00+00:00,145.32,152.18,156.79,887.707755349841
MOEX,2023-08-24 10:00:00+00:00,2023-09-01 07:00:00+00:00,153.3,169.74,172.77,2035.6916089238691
CHMF,2023-09-02 08:00:00+00:00,2023-09-05 08:00:00+00:00,1425.8,1420.0,1440.6,-63.09980551038611
MOEX,2023-09-01 17:00:00+00:00,2023-09-05 09:00:00+00:00,170.21,169.57,172.27,-72.90604725336314
MOEX,2023-09-07 09:00:00+00:00,2023-09-08 07:00:00+00:00,173.34,166.39,173.34,-776.3275066270878
IRAO,2023-09-07 10:00:00+00:00,2023-09-09 08:00:00+00:00,4.5,4.3465,4.5,-528.3781073651546
SNGS,2023-10-02 06:00:00+00:00,2023-10-04 17:00:00+00:00,31.9,33.1,34.075,718.5497983101361
SNGS,2023-10-05 09:00:00+00:00,2023-10-10 09:00:00+00:00,33.785,33.32,34.16,-264.88082952801136
ROSN,2023-10-19 20:00:00+00:00,2023-10-23 17:00:00+00:00,595.25,594.25,610.2,-32.24222192160368
MOEX,2023-11-04 10:00:00+00:00,2023-11-07 08:00:00+00:00,205.02,203.26,207.06,-164.70047854761407
MOEX,2023-11-10 14:00:00+00:00,2023-11-13 13:00:00+00:00,209.4,206.1,213.23,-301.8348633898911
CHMF,2023-12-28 15:00:00+00:00,2024-01-05 07:00:00+00:00,1404.2,1416.0,1430.0,160.44056374842202
CHMF,2024-01-08 16:00:00+00:00,2024-01-09 11:00:00+00:00,1463.0,1439.0,1469.0,-313.7309396934287
VTBR,2024-01-09 06:00:00+00:00,2024-01-10 08:00:00+00:00,124.575,122.575,124.575,-245.62893291671065
SNGS,2024-01-12 10:00:00+00:00,2024-01-15 06:00:00+00:00,30.14,30.15,30.55,4.03719033296032
VTBR,2024-01-11 10:00:00+00:00,2024-01-15 14:00:00+00:00,125.975,124.025,126.3,-294.30168118567326
CHMF,2024-01-11 15:00:00+00:00,2024-01-15 16:00:00+00:00,1547.0,1540.0,1571.8,-68.82404787073258
CHMF,2024-01-20 09:00:00+00:00,2024-01-23 09:00:00+00:00,1586.4,1598.4,1620.0,143.2740205487552
CHMF,2024-01-23 12:00:00+00:00,2024-01-26 10:00:00+00:00,1606.0,1602.8,1617.8,-37.79722106232728
CHMF,2024-03-27 16:00:00+00:00,2024-03-28 13:00:00+00:00,1887.0,1852.2,1887.0,-349.69520217286714
CHMF,2024-03-28 15:00:00+00:00,2024-03-29 08:00:00+00:00,1863.8,1842.0,1866.4,-220.97070717081897
CHMF,2024-03-29 15:00:00+00:00,2024-04-01 13:00:00+00:00,1890.0,1862.0,1893.4,-279.2264843640568
SNGS,2024-04-02 10:00:00+00:00,2024-04-04 10:00:00+00:00,31.49,30.96,31.49,-253.02583603128525
MOEX,2024-04-02 20:00:00+00:00,2024-04-04 14:00:00+00:00,229.78,228.23,229.9,-81.12806536042906
PLZL,2024-04-02 07:00:00+00:00,2024-04-05 06:00:00+00:00,1263.8,1300.2,1331.4,541.2460067070077
PLZL,2024-04-05 14:00:00+00:00,2024-04-08 15:00:00+00:00,1308.6,1330.0,1360.0,307.9886302319672
PLZL,2024-04-08 18:00:00+00:00,2024-04-10 13:00:00+00:00,1348.0,1368.6,1398.6,288.7508501655007
PLZL,2024-04-10 14:00:00+00:00,2024-04-13 15:00:00+00:00,1382.8,1458.0,1482.6,1030.6940232544355
PLZL,2024-04-15 18:00:00+00:00,2024-04-17 09:00:00+00:00,1455.0,1431.0,1459.0,-316.0222271256824
SNGS,2024-04-19 15:00:00+00:00,2024-04-23 09:00:00+00:00,34.175,34.2,35.765,13.969014684764645
ROSN,2024-09-17 18:00:00+00:00,2024-09-18 11:00:00+00:00,517.55,507.85,518.75,-357.94577858556494
PLZL,2024-09-22 11:00:00+00:00,2024-09-24 07:00:00+00:00,1367.8,1342.6,1373.0,-350.54581267472406
ROSN,2024-09-23 04:00:00+00:00,2024-09-24 07:00:00+00:00,531.9,519.45,531.9,-356.28389416062913
ALRS,2024-09-24 20:00:00+00:00,2024-09-26 04:00:00+00:00,55.82,54.7,55.92,-378.927617225236
ALRS,2024-11-08 19:00:00+00:00,2024-11-12 04:00:00+00:00,52.94,52.84,53.98,-35.530215822583436
MOEX,2024-11-10 20:00:00+00:00,2024-11-12 12:00:00+00:00,214.28,212.9,217.64,-96.91013938375306
CHMF,2024-11-11 06:00:00+00:00,2024-11-12 12:00:00+00:00,1226.2,1241.6,1273.8,151.1893380393371
ROSN,2024-11-12 09:00:00+00:00,2024-11-12 19:00:00+00:00,492.85,481.5,492.85,-308.256596931978
MOEX,2024-11-13 08:00:00+00:00,2024-11-13 16:00:00+00:00,214.14,207.19,214.14,-608.5970551924786
ROSN,2024-12-20 15:00:00+00:00,2024-12-23 06:00:00+00:00,562.5,562.0,572.45,-16.560066953439808
NVTK,2024-12-21 07:00:00+00:00,2024-12-24 13:00:00+00:00,893.8,913.4,944.6,261.4630396586816
ROSN,2024-12-23 08:00:00+00:00,2024-12-25 05:00:00+00:00,574.8,572.25,582.95,-58.83145289074468
SBER,2024-12-21 02:00:00+00:00,2024-12-25 06:00:00+00:00,257.3,263.62,267.05,366.08496242191984
VTBR,2024-12-25 13:00:00+00:00,2024-12-27 06:00:00+00:00,76.3,75.97,77.51,-55.8147551297662
SBER,2024-12-25 13:00:00+00:00,2025-01-02 19:00:00+00:00,272.01,280.03,282.46,475.61893122714423
ALRS,2024-12-24 13:00:00+00:00,2025-01-03 07:00:00+00:00,52.72,56.78,58.49,1004.6793092118496
